EVENT	START	END	DURATION
1	01:04:01:13	01:04:27:03	00:00:25:14
2	01:05:46:08	01:06:13:20	00:00:27:12
3	01:07:51:18	01:07:59:11	00:00:07:17
4	01:12:57:03	01:13:07:10	00:00:10:07
5	01:13:43:08	01:15:01:17	00:01:18:09
6	01:15:01:17	01:15:11:11	00:00:09:18
7	01:15:58:00	01:16:25:20	00:00:27:20
8	01:18:12:21	01:18:17:05	00:00:04:08
9	01:19:12:19	01:20:50:13	00:01:37:18
10	01:27:49:04	01:29:51:03	00:02:01:23
11	01:32:30:06	01:32:56:15	00:00:26:09
12	01:40:14:05	01:40:38:02	00:00:23:21
13	01:46:34:12	01:46:41:06	00:00:06:18
14	02:03:19:03	02:03:26:01	00:00:06:22
15	02:23:40:19	02:24:38:03	00:00:57:08
16	02:33:00:11	02:33:25:11	00:00:25:00
17	02:36:41:10	02:37:42:23	00:01:01:13
